Time (ns),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
0.072,307.670624,310.09494,308.762787,308.842783666667,309.835602,308.286194,306.696167,308.272654333333,309.241943,311.847443,311.869293,310.986226333333
0.074,310.222809,311.727081,310.528656,310.826182,310.232971,311.43515,313.698547,311.788889333333,311.090515,310.449646,312.137848,311.226003
0.076,311.053192,308.924286,309.408051,309.795176333333,312.311371,311.064026,310.541748,311.305715,309.96991,307.625305,309.990631,309.195282
0.078,309.267426,313.715668,307.830811,310.271301666667,309.776001,309.17627,312.010406,310.320892333333,307.63324,307.964508,306.215393,307.271047
0.08,311.301117,312.136108,310.886902,311.441375666667,308.533661,311.446777,310.508453,310.162963666667,310.163452,311.596191,308.695526,310.151723
0.082,312.709381,307.452576,310.654938,310.272298333333,310.526184,311.410553,307.035858,309.657531666667,309.986237,310.042542,310.753479,310.260752666667
0.084,308.742004,311.473022,310.208008,310.141011333333,313.066772,309.706787,309.470062,310.747873666667,307.961456,308.487946,309.000397,308.483266333333
0.086,309.385406,309.480682,309.841553,309.569213666667,309.173859,309.22699,308.864777,309.088542,310.769684,310.880005,311.950653,311.200114
0.088,310.532227,309.53595,308.960907,309.676361333333,308.93103,310.077179,310.855591,309.9546,310.852905,308.861847,310.080994,309.931915333333
0.09,311.468262,312.386047,311.819031,311.891113333333,310.174774,310.563293,311.131927,310.623331333333,309.88501,309.322052,309.994812,309.733958
0.092,308.694489,309.962891,310.874634,309.844004666667,309.865601,310.890747,310.404205,310.386851,308.075378,310.084869,310.498871,309.553039333333
0.094,308.039124,308.979309,310.358459,309.125630666667,309.525909,309.430695,307.909027,308.955210333333,310.906921,309.458282,309.894196,310.086466333333
0.096,308.358643,310.813263,309.069,309.413635333333,307.520691,308.860718,311.54538,309.308929666667,308.85968,308.643036,309.788147,309.096954333333
0.098,310.971588,310.354645,310.41275,310.579661,308.913086,310.540955,310.602478,310.018839666667,309.522186,314.132446,307.721619,310.458750333333
0.1,312.111481,310.198059,310.076263,310.795267666667,310.540283,309.728851,308.87326,309.714131333333,311.219299,309.444275,310.792053,310.485209
0.102,310.746368,308.577057,310.563263,309.962229333333,310.569214,310.232971,310.124268,310.308817666667,309.514099,312.052032,308.969025,310.178385333333
0.104,308.68985,308.146851,311.022186,309.286295666667,309.080048,311.797974,312.891846,311.256622666667,310.836609,311.905457,310.315094,311.019053333333
0.106,309.100372,309.802795,308.715118,309.206095,310.123596,309.28772,309.101501,309.504272333333,309.046753,312.448578,310.620422,310.705251
0.108,309.55246,310.283234,311.974701,310.603465,307.904449,307.282349,309.447876,308.211558,306.89743,307.336823,309.569,307.934417666667
0.11,313.565613,310.122986,310.505585,311.398061333333,310.140717,312.350342,308.229492,310.240183666667,309.538025,310.111176,310.19281,309.947337
0.112,310.627045,311.018005,310.14325,310.5961,310.87085,308.491486,307.909729,309.090688333333,311.244659,308.011139,309.323364,309.526387333333
0.114,309.692139,308.22699,307.459595,308.459574666667,310.521179,311.912872,311.119781,311.184610666667,309.871735,309.278992,310.230286,309.793671
0.116,312.093628,309.542633,310.480988,310.705749666667,311.752686,309.42749,308.533081,309.904419,310.367157,308.751831,311.376099,310.165029
0.118,310.457123,313.796112,312.46756,312.240265,313.514374,311.142548,310.723053,311.793325,309.664825,309.060089,309.90036,309.541758
0.12,310.810333,311.126343,310.145813,310.694163,309.861786,309.839722,310.248169,309.983225666667,310.075287,309.545715,308.734344,309.451782
0.122,308.668274,311.32962,308.2995,309.432464666667,309.295502,311.418274,311.028259,310.580678333333,308.317505,308.958527,311.300018,309.52535
0.124,311.829529,309.812531,307.321198,309.654419333333,310.84726,310.264771,308.373383,309.828471333333,308.617767,309.799622,309.819519,309.412302666667
0.126,310.432556,311.07074,310.588135,310.697143666667,310.128021,310.130859,310.687012,310.315297333333,309.674866,309.257263,309.622253,309.518127333333
0.128,310.25647,309.553345,309.687988,309.832601,309.887024,310.314087,310.601318,310.267476333333,307.035126,309.638916,309.283722,308.652588
0.13,311.19693,309.634735,311.603516,310.811727,312.110626,309.040314,311.049561,310.733500333333,311.128723,310.650848,310.279724,310.686431666667
0.132,307.970337,308.030457,309.947632,308.649475333333,309.894531,310.724213,310.171204,310.263316,308.190338,311.203552,310.8703,310.088063333333
0.134,307.59906,309.048798,308.235626,308.294494666667,311.460175,311.195831,311.031158,311.229054666667,307.349274,310.037842,305.843842,307.743652666667
0.136,310.202545,311.080383,306.960052,309.414326666667,310.228424,310.071503,309.549316,309.949747666667,309.977173,307.740967,310.159149,309.292429666667
0.138,307.830566,308.780762,309.144775,308.585367666667,310.646759,310.944763,307.947479,309.846333666667,310.309235,310.164703,311.27832,310.584086
0.14,310.482361,308.600037,309.376526,309.486308,307.236389,309.870087,309.193298,308.766591333333,308.37677,310.515747,308.488159,309.126892
0.142,309.064941,308.548401,309.317047,308.976796333333,312.34494,310.345642,309.456604,310.715728666667,310.836182,311.75293,307.992401,310.193837666667
0.144,309.48877,309.673096,307.931396,309.031087333333,310.386902,309.368805,309.661072,309.805593,310.536285,310.880768,307.889099,309.768717333333
0.146,311.053314,308.820068,309.271179,309.714853666667,309.514343,309.876678,310.02478,309.805267,309.585083,312.43811,309.100281,310.374491333333
0.148,309.31958,308.06015,309.549194,308.976308,310.044678,308.892242,307.508392,308.815104,308.775879,309.894165,309.818085,309.496043
0.15,308.354462,309.277985,310.810059,309.480835333333,308.734131,307.752808,310.838287,309.108408666667,310.54071,308.713928,309.241119,309.498585666667
0.152,310.373413,309.200256,311.095032,310.222900333333,311.200958,311.48468,308.186096,310.290578,310.92215,309.103973,310.778229,310.268117333333
0.154,309.731293,310.250854,311.516907,310.499684666667,309.272766,310.675781,308.116486,309.355011,312.272614,308.431519,309.9776,310.227244333333
0.156,307.907043,310.026978,309.602722,309.178914333333,308.842865,309.439423,310.290833,309.524373666667,308.725159,310.007874,310.835449,309.856160666667
0.158,310.789459,308.636719,310.377472,309.93455,310.952606,309.182739,308.512299,309.549214666667,308.355042,309.340668,311.632751,309.776153666667
0.16,309.882904,309.110809,309.079865,309.357859333333,310.707367,310.782043,311.632355,311.040588333333,307.74408,310.833435,309.529694,309.369069666667
0.162,311.203461,310.637665,308.563202,310.134776,308.117249,308.260956,310.692993,309.023732666667,307.669922,310.269806,311.177185,309.705637666667
0.164,310.894714,311.211029,309.428833,310.511525333333,308.383331,311.90094,309.011292,309.765187666667,311.128998,310.051147,310.770966,310.650370333333
0.166,312.301636,307.937408,309.511078,309.916707333333,309.726471,308.126343,310.397705,309.416839666667,310.110565,309.839844,309.800842,309.917083666667
0.168,313.945801,308.700989,309.21167,310.619486666667,309.256042,309.68869,311.290161,310.078297666667,307.384491,308.763275,306.051758,307.399841333333
0.17,310.048706,310.194519,310.311707,310.184977333333,309.949493,309.850464,308.412872,309.404276333333,309.610931,307.791382,308.763947,308.722086666667
0.172,312.529144,311.936218,308.017059,310.827473666667,309.972168,310.744629,311.845764,310.854187,309.07132,311.655273,309.292267,310.006286666667
0.174,310.291779,310.218109,310.169098,310.226328666667,310.049652,310.217682,310.621857,310.296397,310.075867,309.643005,309.360657,309.693176333333
0.176,309.766815,309.319305,309.981628,309.689249333333,310.437439,310.325256,311.046783,310.603159333333,312.452972,309.127533,310.823456,310.801320333333
0.178,310.540924,310.442047,311.327606,310.770192333333,308.670135,311.689758,308.991028,309.783640333333,310.478821,310.220947,308.261932,309.6539
0.18,310.19223,310.109833,308.733765,309.678609333333,307.996399,308.879639,312.247528,309.707855333333,311.442047,309.779938,313.240204,311.487396333333
0.182,306.971161,310.401459,310.294128,309.222249333333,310.397858,308.485626,310.349396,309.744293333333,307.972809,309.407532,311.256287,309.545542666667
0.184,311.099731,311.860291,307.072662,310.010894666667,307.820343,309.549866,310.867828,309.412679,308.608337,308.503174,309.006104,308.705871666667
0.186,309.993347,307.366943,309.680481,309.013590333333,308.764954,309.007294,312.077393,309.949880333333,307.9375,312.193512,310.470703,310.200571666667
0.188,309.070862,307.385162,312.227692,309.561238666667,311.206848,309.248627,308.804138,309.753204333333,309.54892,309.786957,309.382019,309.572632
0.19,309.595703,311.838531,310.167511,310.533915,309.328796,310.313263,308.927246,309.523101666667,308.353333,310.100037,305.731537,308.061635666667
0.192,308.565125,310.070068,309.43573,309.356974333333,309.213837,310.523895,310.861725,310.199819,311.134766,310.471741,309.734039,310.446848666667
0.194,308.366669,308.875885,306.587799,307.943451,308.063995,308.301117,310.273712,308.879608,309.519196,310.312012,306.724121,308.851776333333
0.196,309.127411,311.748596,309.334045,310.070017333333,309.992615,309.807556,308.491974,309.430715,312.38623,310.102692,312.594086,311.694336
0.198,309.141144,311.175354,308.748505,309.688334333333,308.50354,311.412079,309.763062,309.892893666667,310.546722,311.276031,310.44928,310.757344333333
0.2,309.117279,312.237854,310.310303,310.555145333333,311.632263,309.679718,309.000702,310.104227666667,311.62561,308.621613,311.248627,310.498616666667
0.202,309.763885,310.096924,307.899689,309.253499333333,311.338196,311.685028,309.735504,310.919576,309.913116,309.68515,309.972076,309.856780666667
0.204,310.939362,310.337006,308.890472,310.055613333333,307.53064,311.252075,310.687531,309.823415333333,308.384979,308.811584,306.839539,308.012034
0.206,311.747742,308.164062,309.64328,309.851694666667,308.873749,315.413116,308.366974,310.884613,312.613098,310.977081,310.05426,311.214813
0.208,308.169189,308.712799,308.955688,308.612558666667,310.39151,311.557709,311.65155,311.200256333333,308.624512,310.055237,313.328278,310.669342333333
0.21,307.975922,311.910767,309.958069,309.948252666667,311.775482,310.044861,309.285553,310.368632,310.109009,309.261353,309.371674,309.580678666667
0.212,308.746521,307.906403,309.739868,308.797597333333,310.435364,310.367859,309.298401,310.033874666667,311.142853,311.809692,310.039062,310.997202333333
0.214,312.673767,307.865967,307.923218,309.487650666667,308.526428,309.20697,312.588745,310.107381,310.673798,308.727325,312.760315,310.720479333333
0.216,311.642853,311.041046,310.126465,310.936788,309.049133,312.151001,306.192902,309.131012,309.280304,310.162811,310.903534,310.115549666667
0.218,309.45578,310.251312,309.24942,309.652170666667,313.443207,310.806946,309.826721,311.358958,311.130005,309.079956,311.136566,310.448842333333
0.22,309.906189,309.127411,309.152039,309.395213,311.175293,309.622528,312.126404,310.974741666667,311.136932,313.854156,311.622833,312.204640333333
0.222,310.805145,309.221619,311.076843,310.367869,306.967773,309.93042,309.577637,308.825276666667,310.478149,311.389374,311.807495,311.225006
0.224,307.97525,310.40451,308.556702,308.978820666667,308.213013,308.220886,308.183472,308.205790333333,310.940704,311.611176,311.396637,311.316172333333
0.226,311.575714,309.356384,309.039368,309.990488666667,311.325897,307.796204,309.883728,309.668609666667,310.115753,309.099213,310.289459,309.834808333333
0.228,307.879578,311.76239,310.212708,309.951558666667,308.525482,307.460938,306.12207,307.369496666667,308.972839,307.38028,310.49057,308.947896333333
0.23,310.552032,307.709564,310.470703,309.577433,308.331146,307.799774,308.765228,308.298716,309.566528,310.036285,308.328735,309.310516
0.232,308.710999,310.623138,308.847137,309.393758,309.446838,308.433929,309.639832,309.173533,310.889343,310.949432,311.869781,311.236185333333
0.234,309.133698,309.819244,311.114319,310.022420333333,309.955017,311.071442,310.972626,310.666361666667,308.776215,309.221649,308.225189,308.741017666667
0.236,309.122742,310.105743,308.534882,309.254455666667,310.229248,310.043121,310.431976,310.234781666667,311.302856,310.481689,307.564331,309.782958666667
0.238,309.89801,309.716492,308.891235,309.501912333333,311.744141,307.123688,310.687988,309.851939,309.977814,311.384766,313.113403,311.491994333333
0.24,310.09137,308.353455,310.296936,309.580587,310.123138,310.365845,308.793732,309.760905,311.878448,307.695618,309.246674,309.606913333333
0.242,312.104614,308.915436,310.240112,310.420054,312.131195,308.176849,309.917908,310.075317333333,312.582092,311.352905,310.076477,311.337158
0.244,311.55658,310.643158,308.367798,310.189178666667,308.292999,307.288239,309.701721,308.427653,310.048492,311.043488,307.724762,309.605580666667
0.246,310.383972,310.121277,310.052155,310.185801333333,308.6492,311.431946,307.89743,309.326192,310.834534,311.495148,310.175079,310.834920333333
0.248,311.308868,310.560364,311.974457,311.281229666667,310.483612,310.716766,308.561066,309.920481333333,312.458313,309.104065,310.575714,310.712697333333
0.25,311.578766,311.834167,310.693359,311.368764,310.620056,309.294708,308.790588,309.568450666667,312.84314,310.162537,309.678925,310.894867333333
0.252,312.146576,310.460327,309.364594,310.657165666667,310.999115,310.24942,310.732117,310.660217333333,308.434113,309.830597,308.792694,309.019134666667
0.254,311.559723,313.758301,310.495087,311.937703666667,307.094391,309.656189,308.365051,308.371877,309.091309,310.271606,311.328339,310.230418
0.256,312.039154,309.329224,307.622375,309.663584333333,310.035339,309.53775,308.36792,309.313669666667,306.662079,311.245087,310.59549,309.500885333333
0.258,312.350494,312.382233,309.062927,311.265218,308.729218,310.226715,310.698029,309.884654,311.388428,309.832275,312.625549,311.282084
0.26,309.508636,311.553986,308.947479,310.003367,311.114105,307.16687,310.684967,309.655314,310.989594,307.413727,309.331421,309.244914
0.262,310.783997,308.411957,308.311157,309.169037,308.843506,307.291992,308.899353,308.344950333333,309.394989,311.157227,309.210419,309.920878333333
0.264,310.212067,312.832428,309.221771,310.755422,310.540558,310.605621,308.303925,309.816701333333,308.113739,308.803284,312.235321,309.717448
0.266,309.893555,309.218903,311.542603,310.218353666667,312.318359,308.290833,310.202667,310.270619666667,309.044891,311.225525,308.83725,309.702555333333
0.268,310.872925,309.679718,309.527496,310.026713,309.286835,310.133789,308.280548,309.233724,309.280426,311.909973,307.66507,309.618489666667
0.27,309.695282,311.533417,309.451355,310.226684666667,312.772705,311.537415,311.387543,311.899221,310.630981,310.86322,309.419891,310.304697333333
0.272,308.752655,309.157898,310.565796,309.492116333333,308.937866,311.010834,310.122742,310.023814,310.087036,307.438232,307.454102,308.326456666667
0.274,311.242889,309.967773,310.507294,310.572652,310.202545,310.976715,310.637787,310.605682333333,309.064758,310.339996,308.018036,309.14093
0.276,311.217407,309.659912,310.309845,310.395721333333,310.393646,308.159454,309.487,309.3467,310.017609,312.235077,306.894165,309.715617
0.278,309.277344,310.690796,310.318024,310.095388,311.920349,311.000122,309.899231,310.939900666667,309.869232,310.324097,312.297882,310.830403666667
0.28,308.168671,308.770264,309.250061,308.729665333333,312.877472,307.279785,309.299805,309.819020666667,311.478058,310.163696,310.189636,310.610463333333
0.282,311.451355,311.947723,307.709991,310.369689666667,311.375366,311.491608,308.814911,310.560628333333,310.596863,309.6745,308.12204,309.464467666667
0.284,310.947937,309.655273,308.629425,309.744211666667,310.174713,309.894867,312.42218,310.830586666667,310.100739,308.979553,311.885895,310.322062333333
0.286,312.195587,310.433441,309.919983,310.849670333333,309.5802,309.867706,308.927246,309.458384,310.401672,309.20578,310.69339,310.100280666667
0.288,309.138153,308.555817,309.540253,309.078074333333,309.409302,311.489624,309.99411,310.297678666667,308.161133,311.626434,309.917999,309.901855333333
0.29,308.921783,311.515747,308.717377,309.718302333333,309.373322,309.359863,310.000793,309.577992666667,310.831512,308.434509,311.008209,310.09141
0.292,310.632904,314.095703,308.452484,311.060363666667,309.500702,308.923737,312.865753,310.430064,309.648346,309.607025,309.510803,309.588724666667
0.294,308.048706,312.330231,308.637909,309.672282,309.257996,309.526093,306.879364,308.554484333333,310.420715,309.1698,310.642731,310.077748666667
0.296,307.669403,311.305634,310.302246,309.759094333333,310.001923,310.336456,310.458221,310.265533333333,306.030792,310.525421,308.909485,308.488566
0.298,310.851349,309.871979,310.279144,310.334157333333,309.939484,308.228424,311.532715,309.900207666667,313.006927,310.6604,310.084503,311.25061
0.3,308.557831,309.417206,313.119049,310.364695333333,307.808502,309.803467,309.17514,308.929036333333,309.319763,312.116638,309.742157,310.392852666667
0.302,308.840729,311.49884,307.116333,309.151967333333,308.954681,310.117371,309.523712,309.531921333333,309.414307,308.531372,310.672577,309.539418666667
0.304,311.034851,312.604828,308.123779,310.587819333333,309.086823,312.562775,311.951508,311.200368666667,310.325928,309.462402,310.885254,310.224528
0.306,310.316925,311.082062,310.606049,310.668345333333,311.745392,308.908905,311.373444,310.675913666667,309.545898,308.544647,310.437164,309.509236333333
0.308,309.970428,307.373596,309.86969,309.071238,310.138336,312.196198,306.468231,309.600921666667,310.331879,310.499023,310.056915,310.295939
0.31,309.530457,309.721832,309.681366,309.644551666667,306.874969,311.485535,310.658997,309.673167,313.596771,309.739014,307.777496,310.371093666667
0.312,309.734894,307.892883,310.190247,309.272674666667,308.816498,310.596802,309.656799,309.690033,308.614838,311.549042,309.626587,309.930155666667
0.314,310.150116,309.121368,309.719482,309.663655333333,309.308411,310.730896,311.207458,310.415588333333,312.209808,311.461395,311.631775,311.767659333333
0.316,311.482452,308.395416,311.491821,310.456563,310.305725,308.426208,310.903687,309.87854,309.5578,308.751312,310.042267,309.450459666667
0.318,310.084961,309.827728,309.833557,309.915415333333,310.599609,310.088959,310.498962,310.395843333333,310.799896,309.449066,309.846436,310.031799333333
0.32,311.149231,309.695557,308.735474,309.860087333333,308.894531,309.720245,310.806641,309.807139,311.578827,308.428131,310.297729,310.101562333333
0.322,308.696259,308.704437,308.602325,308.667673666667,309.665375,310.553864,310.103027,310.107422,307.408447,309.657593,309.827728,308.964589333333
0.324,310.773041,306.746368,308.512604,308.677337666667,308.481567,309.026062,310.283478,309.263702333333,309.045441,310.07019,311.142853,310.086161333333
0.326,309.958374,308.31958,311.300232,309.859395333333,309.298309,309.35379,309.480103,309.377400666667,309.811981,308.372375,310.5979,309.594085333333
