Time (ps),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
35364,51.63118,25.855484,-56.917786,6.85629266666667,223.735825,35.314056,119.63974,126.229873666667,-40.180832,-9.98848,28.401443,-7.25595633333333
35366,-38.027542,171.524826,115.760986,83.08609,17.837967,-20.661591,-90.552124,-31.1252493333333,-124.576393,49.238113,59.512466,-5.27527133333333
35368,-140.307983,-141.681458,-139.952332,-140.647257666667,-53.753006,-71.117172,146.725739,7.285187,228.538025,-24.841827,38.09404,80.596746
35370,77.774933,52.890701,28.005615,52.8904163333333,65.830811,170.543671,51.692566,96.0223493333333,125.9254,87.078064,-144.722534,22.76031
35372,-201.381714,69.606659,-137.5522,-89.7757516666667,-109.528809,49.635452,125.262039,21.7895606666667,44.035172,47.056549,42.754364,44.6153616666667
35374,111.590485,60.564438,119.608444,97.2544556666667,-62.67543,-54.175247,129.259003,4.13610866666667,6.768845,-10.95369,-9.784027,-4.65629066666667
35376,-13.340622,64.073563,106.359177,52.3640393333333,108.462067,130.011276,-123.014633,38.4862366666667,-68.403015,-28.605453,42.331818,-18.22555
35378,59.592484,113.514999,-152.950287,6.71906533333333,59.169678,-191.087097,-9.87822,-47.265213,44.959076,-45.004608,-26.597275,-8.88093566666667
35380,-53.166199,-95.794006,107.855728,-13.7014923333333,-2.639587,-134.774551,-166.479141,-101.297759666667,53.104309,-15.808884,45.625778,27.640401
35382,-148.397949,-84.357071,150.360016,-27.4650013333333,43.967697,-141.16658,59.464859,-12.578008,-64.631363,37.193268,-162.428314,-63.288803
35384,-20.107407,-97.884003,244.580353,42.1963143333333,-37.926163,-3.979996,302.149658,86.747833,-68.235107,-116.324905,185.700607,0.38019833333333
35386,-98.709396,-130.475693,-198.981659,-142.722249333333,-93.100525,-50.885559,12.721985,-43.7546996666667,-49.546646,-321.010437,-37.872726,-136.143269666667
35388,-35.883759,259.737244,66.820816,96.8914336666667,58.701279,-354.602173,-220.448914,-172.116602666667,-51.460815,-36.642548,-219.554977,-102.55278
35390,61.158127,43.637024,18.064163,40.9531046666667,178.928802,234.573059,-9.027786,134.824691666667,-144.213867,100.122421,225.097076,60.33521
35392,-88.802444,-46.779068,-43.784622,-59.7887113333333,-55.907776,6.877243,-72.770721,-40.600418,31.127411,187.19426,22.557693,80.2931213333333
35394,23.429214,69.1866,-58.374741,11.413691,-166.322617,70.697189,119.106888,7.82715333333333,-62.522842,-0.29924,2.708191,-20.0379636666667
35396,-156.30127,-160.257843,295.167755,-7.13045266666667,96.216019,-192.862732,-39.509811,-45.385508,9.755447,112.886887,-86.194672,12.1492206666667
35398,197.454559,-39.505997,-207.171341,-16.407593,-116.738525,89.288574,94.451416,22.3338216666667,-140.004562,7.192719,261.91153,43.033229
35400,154.608871,33.545288,55.748367,81.300842,-57.083954,66.679413,113.470581,41.0220133333333,-216.973297,46.494934,-61.060059,-77.179474
35402,-85.109894,29.215073,157.003799,33.7029926666667,-65.018661,-134.453888,151.129745,-16.114268,-310.797729,96.622162,-236.556259,-150.243942
35404,-99.223656,132.091354,89.01712,40.6282726666667,17.507034,35.009827,-41.370987,3.71529133333333,44.443924,-156.414429,-184.873322,-98.9479423333333
35406,-38.58049,38.957947,-21.230515,-6.95101933333333,8.791214,122.298538,1.136795,44.0755156666667,129.172577,-50.292725,141.591766,73.4905393333333
35408,91.263382,17.592545,-67.395325,13.8202006666667,-158.971832,-132.142365,-26.202835,-105.772344,-41.415344,57.217514,128.903534,48.2352346666667
35410,156.057495,132.112457,13.819214,100.663055333333,9.486176,-107.354675,211.28273,37.8047436666667,-145.912018,-83.296524,-143.753021,-124.320521
35412,20.13916,162.613907,58.905777,80.552948,-63.3797,-15.476074,-47.846832,-42.234202,-93.186661,32.937866,-228.754898,-96.3345643333333
35414,-196.651276,54.088089,70.958633,-23.8681846666667,-23.296051,-158.014221,186.294998,1.66157533333333,95.383606,-126.073616,-32.340698,-21.010236
35416,101.360229,118.245804,162.44548,127.350504333333,152.684906,145.262405,-78.075027,73.2907613333333,-7.481323,-78.743423,-47.691071,-44.6386056666667
35418,-67.237091,-6.161041,30.854965,-14.1810556666667,332.580536,-47.920166,201.507523,162.055964333333,38.387756,98.296768,-29.03067,35.884618
35420,-87.325531,-1.260361,8.420273,-26.721873,-7.271637,-119.85881,-40.114136,-55.7481943333333,-212.552704,215.143997,14.567642,5.719645
35422,114.568085,82.143982,-163.194183,11.172628,-21.867905,-90.799393,61.253128,-17.1380566666667,48.534927,-55.655792,-273.997253,-93.7060393333334
35424,24.536926,216.761688,60.776382,100.691665333333,-9.502594,97.154175,310.733276,132.794952333333,94.15799,120.964386,-33.971008,60.3837893333333
35426,-0.958893,-34.561798,-219.839188,-85.1199596666667,4.622971,-23.601074,-4.095352,-7.69115166666667,-61.387177,77.886902,143.6147,53.371475
35428,-24.411362,56.740524,33.393265,21.9074756666667,62.06575,-177.271027,-128.161194,-81.122157,269.375916,35.583145,15.4104,106.789820333333
35430,-135.909348,97.534775,30.377365,-2.665736,71.150528,145.029144,148.649765,121.609812333333,-103.007042,44.951859,-12.250153,-23.435112
35432,301.558777,116.161575,293.207001,236.975784333333,60.80217,-137.171082,-43.275024,-39.881312,-166.884552,74.155411,-149.819061,-80.8494006666667
35434,94.857559,170.043243,139.152618,134.684473333333,228.998566,-44.477737,-57.32103,42.399933,-89.715134,35.214813,-12.713181,-22.4045006666667
35436,140.289398,-32.924667,-80.208603,9.05204266666667,-82.435791,97.9841,-58.337448,-14.2630463333333,158.772751,223.840515,-160.439056,74.05807
35438,-38.082764,9.734238,-67.153549,-31.834025,-48.531143,87.945404,-139.227341,-33.2710266666667,75.911667,-24.910049,5.416183,18.8059336666667
35440,121.557144,-45.984467,-83.775635,-2.73431933333333,-5.108612,-72.748459,224.020584,48.721171,12.886978,139.910736,121.123901,91.307205
35442,-99.429108,128.924011,87.454605,38.9831693333333,-1.781815,108.520386,-183.722046,-25.6611583333333,10.14711,-61.307083,-38.335876,-29.8319496666667
35444,55.71373,-98.896271,-56.700546,-33.2943623333333,59.727905,-127.689575,-43.869186,-37.276952,122.548996,-48.289658,-2.298477,23.9869536666667
35446,-98.679611,6.088165,-109.648277,-67.413241,-30.545715,-98.142899,5.127441,-41.1870576666667,186.499329,118.807053,-144.800354,53.5020093333333
35448,48.062851,100.987534,-28.669479,40.1269686666667,-11.241623,15.60997,40.305374,14.8912403333333,186.944824,60.842819,-15.11702,77.5568743333333
35450,136.387329,-244.579971,-72.639999,-60.277547,21.225952,-86.1073,180.496017,38.538223,22.351608,75.618637,138.549454,78.8398996666667
35452,3.29213,34.967834,146.658249,61.6394043333334,120.159698,-82.40802,-79.636597,-13.9616396666667,23.58519,-60.977631,-48.787048,-28.7264963333333
35454,6.202087,259.312866,-153.437698,37.359085,170.86731,-222.062836,-1.151627,-17.449051,-144.985748,-26.2742,27.897247,-47.787567
35456,-144.05278,-158.441589,43.9785,-86.1719563333334,-35.004333,188.293091,160.259033,104.515930333333,78.254379,-82.290909,-87.011093,-30.3492076666667
35458,16.085892,213.404068,-172.030289,19.1532236666667,62.270569,227.101761,4.483688,97.952006,-64.618454,-62.376953,22.787842,-34.735855
35460,-204.980316,-126.325638,-170.217926,-167.174626666667,-15.176208,-36.66951,-10.188187,-20.6779683333333,-143.215454,106.01239,63.364883,8.72060633333334
35462,68.063126,-33.313156,83.028763,39.2595776666667,-76.01738,230.433853,-146.413788,2.66756166666666,132.746246,74.353256,67.009888,91.3697966666667
35464,94.291687,-142.858688,172.618576,41.350525,42.874756,148.852585,-51.492126,46.7450716666667,145.743164,-66.062973,-121.392838,-13.9042156666667
35466,-23.278702,-1.75528,-89.79538,-38.276454,29.803345,37.684631,-108.734238,-13.748754,127.680405,95.720337,-62.202805,53.7326456666667
35468,68.10997,47.774857,74.38858,63.424469,21.673126,-197.212708,35.875412,-46.5547233333333,-58.241043,248.57045,-43.9935,48.7786356666667
35470,-12.639954,-73.563629,-81.653961,-55.9525146666667,15.526031,-68.432449,-1.98436,-18.296926,14.427811,-76.212936,-77.144104,-46.309743
35472,186.361572,-139.315842,-44.145752,0.966659333333335,226.554199,-130.738602,61.782196,52.5325976666667,-21.671646,223.008835,47.334045,82.8904113333334
35474,168.539124,128.490311,353.135834,216.721756333333,59.047653,-70.363785,92.936646,27.206838,-56.950943,43.235062,-18.756973,-10.8242846666667
35476,34.01593,-66.972,-33.606827,-22.1876323333333,161.228867,244.247635,12.821655,139.432719,164.266647,268.994843,103.257492,178.839660666667
35478,132.000702,67.850784,-123.809898,25.347196,-11.656479,129.085892,15.913086,44.4474996666667,-157.36087,-110.310982,-48.357941,-105.343264333333
35480,-238.971832,-79.527267,66.583252,-83.971949,116.571518,-94.459778,-346.188232,-108.025497333333,-170.100006,-117.49041,190.653015,-32.312467
35482,80.448257,154.075912,151.967285,128.830484666667,234.981033,29.85907,39.752686,101.530929666667,20.943008,159.360703,23.195541,67.833084
35484,-187.91156,-171.60141,190.267212,-56.4152526666667,-75.062057,59.24794,-11.018173,-8.94409666666667,49.906784,-115.862579,161.577332,31.8738456666667
35486,61.615631,46.089539,154.056122,87.253764,-0.572586,28.859451,70.789444,33.0254363333333,-157.009277,-71.906281,-25.708786,-84.8747813333333
35488,111.335266,120.865005,-7.708954,74.830439,164.111725,79.320786,-97.776917,48.5518646666667,199.322937,-194.945724,-117.665482,-37.7627563333334
35490,61.095749,6.949677,-26.7258,13.7732086666667,-134.95665,-100.177849,-198.233521,-144.456006666667,-180.519562,-5.418381,145.643875,-13.431356
