Time (ps),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
140,144949.59375,144070.828125,144433.328125,144484.583333333,143471.234375,144701.109375,144385.0625,144185.802083333,143901.21875,144899.34375,143953.203125,144251.255208333
142,144287.84375,144046.703125,144405.5625,144246.703125,145856.796875,144923.171875,144508,145095.989583333,145048.875,145476.65625,143721.84375,144749.125
144,144485.71875,144571.78125,143758.65625,144272.052083333,144942.4375,144467.03125,144603.5,144670.989583333,144908.921875,145069.671875,143673.640625,144550.744791667
146,145216.125,144173.53125,144384.140625,144591.265625,144534.984375,144704.1875,144773.34375,144670.838541667,144465.0625,145796.390625,144238.8125,144833.421875
148,144406.734375,143818.78125,144513.9375,144246.484375,144782.65625,144244.46875,143598.28125,144208.46875,144087.453125,144609.28125,144573.78125,144423.505208333
150,143956.15625,144387.328125,145102.578125,144482.020833333,144170.640625,143712.390625,145153.234375,144345.421875,144910.984375,144058.53125,144304.546875,144424.6875
152,144898.71875,144351.046875,145235.609375,144828.458333333,145322.578125,145455.0625,143914.71875,144897.453125,145088.96875,144240.53125,145021.828125,144783.776041667
154,144598.9375,144841.5,145432.5625,144957.666666667,144422.171875,145077.328125,143882.21875,144460.572916667,145719.1875,143926.75,144648.1875,144764.708333333
156,143747.28125,144736.984375,144538.9375,144341.067708333,144221.390625,144500,144897.59375,144539.661458333,144063.78125,144662.34375,145048.53125,144591.552083333
158,145092.9375,144087.953125,144900.625,144693.838541667,145206.609375,144380.125,144067.03125,144551.255208333,143891.0625,144351,145420.578125,144554.213541667
160,144669.734375,144309.28125,144294.84375,144424.619791667,145092.09375,145126.953125,145524.046875,145247.697916667,143605.96875,145047.59375,144439.203125,144364.255208333
162,145286.21875,145022.09375,144053.625,144787.3125,143882.59375,143949.6875,145085.375,144305.885416667,143571.359375,144784.5625,145207.984375,144521.302083333
164,145142.09375,145289.765625,144457.75,144963.203125,144006.828125,145649.453125,144300.078125,144652.119791667,145185.5,144682.53125,145018.421875,144962.151041667
166,145798.921875,143761.46875,144496.15625,144685.515625,144634.03125,143886.828125,144947.46875,144489.442708333,144710.25,144583.9375,144565.75,144619.979166667
168,146566.5,144117.9375,144356.34375,145013.59375,144414.375,144616.40625,145364.21875,144798.333333333,143438.1875,144081.5625,142816.25,143445.333333333
