Time (ns),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
0.048,2.26925,2.28085,2.28178,2.27729333333333,2.30229,2.27982,2.24675,2.27628666666667,2.28472,2.2867,2.26347,2.27829666666667
0.05,2.2673,2.28244,2.2728,2.27418,2.30099,2.28984,2.25016,2.28033,2.28891,2.28333,2.26841,2.28021666666667
0.052,2.26411,2.28282,2.27602,2.27431666666667,2.3012,2.29064,2.24721,2.27968333333333,2.29157,2.28826,2.27423,2.28468666666667
0.054,2.26089,2.27833,2.27604,2.27175333333333,2.29496,2.28628,2.2538,2.27834666666667,2.2869,2.29217,2.27996,2.28634333333333
0.056,2.27001,2.28562,2.27057,2.2754,2.28654,2.28279,2.2448,2.27137666666667,2.28293,2.28836,2.27773,2.28300666666667
0.058,2.26538,2.28127,2.26681,2.27115333333333,2.29856,2.2828,2.24684,2.27606666666667,2.28393,2.28186,2.27655,2.28078
0.06,2.26862,2.28181,2.27614,2.27552333333333,2.2983,2.28064,2.24856,2.27583333333333,2.28258,2.28978,2.27762,2.28332666666667
0.062,2.26498,2.27847,2.28051,2.27465333333333,2.29012,2.29711,2.25277,2.28,2.28824,2.28866,2.27882,2.28524
0.064,2.26703,2.27315,2.27596,2.27204666666667,2.29577,2.28413,2.24986,2.27658666666667,2.28191,2.28555,2.27876,2.28207333333333
0.066,2.27025,2.27348,2.27457,2.27276666666667,2.29424,2.29057,2.23873,2.27451333333333,2.28434,2.2901,2.27826,2.28423333333333
0.068,2.26877,2.2815,2.27243,2.27423333333333,2.28678,2.28159,2.23985,2.26940666666667,2.2886,2.28704,2.28017,2.28527
0.07,2.27131,2.28864,2.27384,2.27793,2.28752,2.28185,2.24791,2.27242666666667,2.28712,2.28328,2.27631,2.28223666666667
0.072,2.26929,2.28515,2.26869,2.27437666666667,2.28553,2.28942,2.24917,2.27470666666667,2.28448,2.28204,2.27526,2.28059333333333
0.074,2.27024,2.2777,2.27259,2.27351,2.29281,2.2874,2.25572,2.27864333333333,2.29593,2.28897,2.27175,2.28555
0.076,2.26055,2.28263,2.2666,2.26992666666667,2.29091,2.29698,2.2512,2.27969666666667,2.28237,2.29002,2.26958,2.28065666666667
0.078,2.26433,2.27753,2.27332,2.27172666666667,2.29036,2.29346,2.24805,2.27729,2.2948,2.28581,2.27169,2.2841
0.08,2.26891,2.27731,2.27107,2.27243,2.28626,2.29976,2.24933,2.27845,2.29484,2.28641,2.27496,2.28540333333333
0.082,2.26466,2.29009,2.27152,2.27542333333333,2.29251,2.2916,2.2363,2.27347,2.29343,2.30337,2.27863,2.29181
0.084,2.27021,2.29097,2.27347,2.27821666666667,2.29248,2.28485,2.24276,2.27336333333333,2.29304,2.29311,2.28171,2.28928666666667
0.086,2.26895,2.29609,2.27086,2.27863333333333,2.29115,2.28211,2.24787,2.27371,2.29469,2.28923,2.27909,2.28767
