Time (ps),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
122,-559444.9375,-557064.3125,-559823.8125,-558777.6875,-558704.25,-558039.125,-556428.75,-557724.041666667,-559163.875,-559999.6875,-558089.5,-559084.354166667
124,-556540.8125,-558682.875,-560601.8125,-558608.5,-558499.75,-556306.875,-558737.4375,-557848.020833333,-558654.1875,-558915,-560436.4375,-559335.208333333
126,-557592.125,-557231.625,-558292.1875,-557705.3125,-558800.9375,-558675.9375,-558066.25,-558514.375,-559369.9375,-560395.3125,-559777,-559847.416666667
128,-558232,-558159.6875,-560169.6875,-558853.791666667,-559872.5625,-557934.0625,-557845.75,-558550.791666667,-558850.375,-558190.375,-559325.875,-558788.875
130,-558021.375,-559323.0625,-556852.0625,-558065.5,-558126.875,-559098.9375,-559359.125,-558861.645833333,-557668.75,-558025.6875,-558129.375,-557941.270833333
132,-558825.8125,-559975.375,-559288.1875,-559363.125,-558441.375,-556358.9375,-558885.875,-557895.395833333,-559780.75,-557447.25,-557986.875,-558404.958333333
134,-558716.5625,-558055.5625,-560644.5,-559138.875,-558185.25,-559393.6875,-556522.75,-558033.895833333,-560060.5625,-559289.25,-561001,-560116.9375
136,-558909.625,-557084.125,-561629.25,-559207.666666667,-558699.5625,-557706.625,-559637.1875,-558681.125,-558984.25,-560185.25,-557262.3125,-558810.604166667
138,-560330.1875,-558293.0625,-558543.25,-559055.5,-558368.875,-557065.875,-559948.0625,-558460.9375,-559267.5,-559326.5,-558606.9375,-559066.979166667
140,-558171.125,-559249.75,-559914.9375,-559111.9375,-561060.25,-558612.0625,-558026.375,-559232.895833333,-560341.25,-559986.375,-558986.0625,-559771.229166667
142,-557545.5,-559705.625,-559594.0625,-558948.395833333,-556953.0625,-557412.75,-558977.375,-557781.0625,-558836.9375,-557348.5,-560352.5,-558845.979166667
144,-557645.375,-557004,-559250.375,-557966.583333333,-557642.3125,-557225.25,-558261.4375,-557709.666666667,-558525,-558962.8125,-559589.8125,-559025.875
146,-557114.8125,-559768.875,-558441.9375,-558441.875,-558657,-560681.75,-559296.75,-559545.166666667,-557481.9375,-557913,-560257.6875,-558550.875
148,-560072.125,-559362.5,-558377.8125,-559270.8125,-556507,-558194.125,-560081,-558260.708333333,-560409.125,-558540.125,-559022.75,-559324
150,-558601.375,-558663.25,-558179.6875,-558481.4375,-561315.4375,-560845.75,-558425.75,-560195.645833333,-559316.4375,-559590.125,-559135.75,-559347.4375
152,-556498.5,-560512.6875,-557129.0625,-558046.75,-556632,-556659.8125,-560748.25,-558013.354166667,-558512.375,-560515,-557850.75,-558959.375
154,-559325,-558928.75,-555184.8125,-557812.854166667,-559352.3125,-556603.3125,-559430.125,-558461.916666667,-558891.9375,-559502.5,-558104.5625,-558833
156,-558916.875,-560129.0625,-557834.8125,-558960.25,-559038.4375,-557928.3125,-558787.5,-558584.75,-559445,-559211.5,-559439,-559365.166666667
158,-558443.1875,-559394.9375,-558905.25,-558914.458333333,-557172.625,-556845.6875,-559416.5,-557811.604166667,-559402.5625,-559696.625,-559048.1875,-559382.458333333
160,-556861.1875,-557800.125,-559409.75,-558023.6875,-559711.375,-557030.875,-557059.75,-557934,-560139,-558577.125,-559241.8125,-559319.3125
162,-556547.75,-557640.875,-559795.1875,-557994.604166667,-558507.875,-558935.625,-557471.25,-558304.916666667,-560557.8125,-559197.8125,-556343.4375,-558699.6875
164,-558084.5,-558193.375,-558669,-558315.625,-557868.5,-556538.0625,-559861.5,-558089.354166667,-559901.3125,-558822.75,-559097.1875,-559273.75
166,-555549.5,-559620.25,-559655.5,-558275.083333333,-558604,-561069.125,-559664.75,-559779.291666667,-560234.8125,-559725.125,-559109.3125,-559689.75
168,-554655.6875,-560195.3125,-558127.5,-557659.5,-557067.375,-558402.25,-559154.625,-558208.083333333,-562002.875,-560600,-561376.375,-561326.416666667
170,-557575.6875,-556818,-556901.0625,-557098.25,-559617.5625,-560304,-559299.4375,-559740.333333333,-560548.5625,-561017.9375,-560090.25,-560552.25
172,-557794.375,-556841.8125,-559369.375,-558001.854166667,-557956.8125,-557966.375,-558508.9375,-558144.041666667,-561300.4375,-558752.4375,-559801.625,-559951.5
174,-557105,-556887.625,-557658.3125,-557216.979166667,-558416.9375,-556269.875,-557084.625,-557257.145833333,-557652.25,-561186.375,-559700.5,-559513.041666667
176,-558457.125,-559089.125,-558165.125,-558570.458333333,-556569.5,-560138.6875,-557859.0625,-558189.083333333,-557611.5,-560428.625,-559567.75,-559202.625
178,-556012.8125,-556981.375,-557126.5,-556706.895833333,-559985.5625,-555606.5,-557540,-557710.6875,-559270.25,-559148.625,-558713.4375,-559044.104166667
180,-559140.125,-559413.8125,-558796.5625,-559116.833333333,-559710.125,-557153.75,-557478.5,-558114.125,-559459.875,-558913.25,-555769.9375,-558047.6875
182,-560681.6875,-558849.0625,-557490.25,-559007,-558761.75,-558591.5,-559858.875,-559070.708333333,-562152.9375,-559110,-559482.125,-560248.354166667
184,-556330.1875,-556793.6875,-559027.4375,-557383.770833333,-558511.25,-556703.5,-558681.0625,-557965.270833333,-558848.375,-561380.5,-560108.625,-560112.5
