Time (ps),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
216,199.401,199.134,197.726,198.753666666667,198.697,203.3,196.097,199.364666666667,200.655,201.181,197.401,199.745666666667
218,198.794,198.652,196.667,198.037666666667,198.791,201.498,193.883,198.057333333333,199.715,199.411,198.641,199.255666666667
220,198.235,198.361,195.836,197.477333333333,195.262,200.859,195.79,197.303666666667,199.239,200.309,198.601,199.383
222,199.226,196.543,199.193,198.320666666667,196.791,199.804,193.879,196.824666666667,201.172,199.256,200.07,200.166
224,199.067,200.684,199.621,199.790666666667,193.651,200.649,195.128,196.476,202.878,202.177,197.477,200.844
226,198.695,198.507,199.907,199.036333333333,197.532,199.649,195.595,197.592,199.605,198.181,199.294,199.026666666667
228,199.599,200.307,200.615,200.173666666667,195.327,201.828,195.226,197.460333333333,200.227,200.636,198.903,199.922
230,199.94,199.64,198.313,199.297666666667,196.543,199.119,194.429,196.697,198.861,199.083,198.281,198.741666666667
232,198.392,200.377,195.213,197.994,196.277,199.697,194.383,196.785666666667,198.479,199.609,195.962,198.016666666667
234,200.369,199.825,199.153,199.782333333333,194.015,200.92,193.298,196.077666666667,196.822,200.936,196.314,198.024
236,199.227,200.728,196.028,198.661,193.44,201.91,196.787,197.379,197.727,201.677,196.798,198.734
238,201.062,201.901,199.561,200.841333333333,193.847,198.315,194.26,195.474,197.108,200.788,197.483,198.459666666667
240,200.915,201.407,200.584,200.968666666667,198.191,200.418,194.206,197.605,197.822,198.971,193.232,196.675
242,201.234,203.341,198.71,201.095,199.97,202.189,194.154,198.771,200.112,199.697,197.414,199.074333333333
244,199.556,201.742,199.51,200.269333333333,195.807,202.302,197.36,198.489666666667,198.518,199.042,197.699,198.419666666667
246,199.784,202.36,200.782,200.975333333333,195.928,200.334,191.556,195.939333333333,198.475,196.214,195.16,196.616333333333
248,199.663,205.051,198.431,201.048333333333,197.073,201.286,194.096,197.485,199.763,199.335,195.212,198.103333333333
250,197.411,201.683,199.487,199.527,196.538,203.149,193.985,197.890666666667,200.14,199.371,196.913,198.808
252,199.757,203.278,200.846,201.293666666667,194.358,202.168,194.826,197.117333333333,202.311,199.002,195.009,198.774
254,199.093,202.682,201.955,201.243333333333,194.782,203.598,193.481,197.287,201.871,201.353,194.748,199.324
256,200.501,205.052,199.174,201.575666666667,193.144,199.875,193.634,195.551,198.298,197.564,196.262,197.374666666667
258,197.666,204.366,197.516,199.849333333333,198.991,200.472,192.841,197.434666666667,199.428,197.945,195.885,197.752666666667
260,199.989,203.37,197.096,200.151666666667,195.267,201.083,189.803,195.384333333333,197.747,196.825,196.405,196.992333333333
262,200.13,204.237,199.379,201.248666666667,196.321,200.762,196.325,197.802666666667,202.59,198.666,195.761,199.005666666667
264,197.694,199.239,199.601,198.844666666667,192.167,199.029,194.971,195.389,200.05,196.555,195.217,197.274
266,197.713,201.134,197.541,198.796,195.919,202.421,193.777,197.372333333333,201.276,199.419,195.714,198.803
268,199.374,201.623,199.037,200.011333333333,194.607,202.074,195.405,197.362,200.156,198.93,196.224,198.436666666667
270,196.807,199.936,195.888,197.543666666667,197.653,201.386,195.081,198.04,198.489,195.418,195.057,196.321333333333
272,197.431,200.934,196.193,198.186,196.885,200.223,193.054,196.720666666667,200.356,194.162,196.859,197.125666666667
274,199.361,202.121,197.825,199.769,200.457,202.983,194.27,199.236666666667,199.721,199.271,196.759,198.583666666667
276,196.731,202.113,198.005,198.949666666667,196.547,200.925,195.246,197.572666666667,203.338,197.148,197.031,199.172333333333
278,197.318,202.155,201.225,200.232666666667,198.889,202.902,196.586,199.459,201.86,199.186,197.174,199.406666666667
280,198.993,200.62,196.606,198.739666666667,197.948,200.223,193.722,197.297666666667,198.65,202.086,197.925,199.553666666667
282,199.568,200.595,196.577,198.913333333333,197.938,198.644,195.677,197.419666666667,199.587,199.416,196.665,198.556
284,198.718,202.373,196.122,199.071,198.122,195.642,194.517,196.093666666667,198.361,198.524,197.625,198.17
286,199.758,202.487,197.07,199.771666666667,198.244,200.176,193.87,197.43,200.114,200.439,198.067,199.54
288,198.248,200.706,196.84,198.598,200.55,198.345,194.878,197.924333333333,200.774,200.449,196.035,199.086
290,198.176,201.405,198.076,199.219,198.312,199.079,196.518,197.969666666667,200.873,201.382,198.315,200.19
292,198.873,196.081,200.293,198.415666666667,200.446,200.006,193.945,198.132333333333,198.626,197.765,197.643,198.011333333333
294,197.686,200.728,197.232,198.548666666667,198.159,196.191,194.599,196.316333333333,201.145,200.428,198.468,200.013666666667
296,197.618,202.764,197.084,199.155333333333,197.513,200.551,193.281,197.115,195.808,198.602,196.297,196.902333333333
298,199.219,201.348,201.37,200.645666666667,197.736,198.783,195.166,197.228333333333,197.487,200.2,195.816,197.834333333333
300,197.39,198.813,199.374,198.525666666667,200.07,200.959,197.412,199.480333333333,198.817,201.645,199.792,200.084666666667
302,196.521,202.449,199.609,199.526333333333,195.538,197.33,193.826,195.564666666667,199.994,202.431,199.363,200.596
304,197.467,202.327,195.415,198.403,197.669,199.383,195.673,197.575,197.604,201.79,196.721,198.705
306,197.457,201.436,197.633,198.842,200.936,198.949,194.24,198.041666666667,199.201,201.284,197.944,199.476333333333
308,198.379,202.687,198.966,200.010666666667,198.853,198.732,195.72,197.768333333333,198.231,203.023,197.89,199.714666666667
310,199.214,202.966,197.652,199.944,197.285,201.655,194.98,197.973333333333,199.115,201.158,195.087,198.453333333333
312,199.365,200.72,198.925,199.67,201.304,197.415,193.771,197.496666666667,197.206,202.57,198.956,199.577333333333
314,196.925,202.183,195.881,198.329666666667,200.806,200.516,191.391,197.571,199.631,201.193,195.45,198.758
316,196.961,203.897,199.097,199.985,198.159,202.29,195.448,198.632333333333,200.021,199.833,197.55,199.134666666667
318,196.403,201.643,202.193,200.079666666667,197.954,196.773,195.626,196.784333333333,198.663,200.501,198.434,199.199333333333
320,198.136,204.13,197.321,199.862333333333,198.634,197.975,196.941,197.85,197.211,199.457,199.579,198.749
322,198.807,201.04,198.854,199.567,199.01,199.588,195.605,198.067666666667,195.751,202.352,198.166,198.756333333333
324,199.724,200.309,198.62,199.551,202.244,198.012,195.887,198.714333333333,198.234,201.567,197.279,199.026666666667
326,198.571,202.863,199.256,200.23,199.56,198.374,195.826,197.92,198.994,202.259,200.204,200.485666666667
328,197.212,200.864,198.855,198.977,200.934,196.596,196.991,198.173666666667,199.358,200.998,196.315,198.890333333333
330,198.739,201.942,200.945,200.542,199.62,194.339,198.189,197.382666666667,198.566,201.428,198.096,199.363333333333
332,199.534,201.466,198.874,199.958,199.383,199.828,199.472,199.561,196.371,201.219,196.264,197.951333333333
334,197.887,203.864,201.886,201.212333333333,200.663,198.389,196.441,198.497666666667,195.807,199.108,196.659,197.191333333333
336,200.363,203.512,201.423,201.766,197.524,199.301,196.14,197.655,195.761,201.243,198.29,198.431333333333
338,199.481,201.309,201.518,200.769333333333,199.088,200.277,195.354,198.239666666667,193.95,201.533,197.143,197.542
340,199.642,199.813,199.373,199.609333333333,197.235,196.748,194.908,196.297,196.643,202.337,198.822,199.267333333333
342,199.593,203.64,201.531,201.588,199.749,200.185,194.429,198.121,194.842,200.413,197.902,197.719
344,198.639,201.725,202.206,200.856666666667,199.316,198.471,194.673,197.486666666667,195.94,200.28,199.134,198.451333333333
346,198.799,203.276,201.308,201.127666666667,197.684,199.098,198.659,198.480333333333,194.424,199.019,199.186,197.543
348,198.109,203.073,203.265,201.482333333333,196.528,199.234,197.148,197.636666666667,197.849,201.007,197.178,198.678
350,200.344,200.181,200.852,200.459,194.585,198.031,198.242,196.952666666667,194.645,201.793,197.788,198.075333333333
352,199.422,202.916,201.429,201.255666666667,193.099,201.809,196.834,197.247333333333,195.937,197.791,199.064,197.597333333333
354,201.365,203.6,202.275,202.413333333333,195.848,197.905,198.306,197.353,195.155,197.407,197.359,196.640333333333
356,198.48,202.433,201.611,200.841333333333,194.921,199.225,197.15,197.098666666667,193.749,200.707,200.193,198.216333333333
358,200.505,201.2,200.727,200.810666666667,195.441,199.227,194.85,196.506,196.044,198.642,196.823,197.169666666667
360,201.132,202.301,200.512,201.315,196.551,202.231,198.144,198.975333333333,196.189,201.737,200.059,199.328333333333
362,200.229,200.946,201.814,200.996333333333,195.669,200.661,198.516,198.282,197.06,201.03,196.535,198.208333333333
364,196.201,201.52,206.367,201.362666666667,194.244,200.995,197.075,197.438,197.094,199.647,197.441,198.060666666667
366,197.906,201.252,203.912,201.023333333333,195.338,201.152,197.691,198.060333333333,194.653,199.51,198.975,197.712666666667
368,199.886,202.535,201.385,201.268666666667,195.46,202.44,195.157,197.685666666667,195.147,198.918,201.091,198.385333333333
370,200.996,201.63,202.115,201.580333333333,195.763,198.275,198.54,197.526,195.967,200.913,197.794,198.224666666667
372,199.738,200.211,201.594,200.514333333333,194.166,199.725,198.591,197.494,196.14,200.872,201.019,199.343666666667
374,198.998,200.838,200.092,199.976,194.923,199.237,197.938,197.366,197.652,198.755,198.585,198.330666666667
376,198.69,201.262,197.945,199.299,197.272,200.07,198.126,198.489333333333,196.839,198.225,195.838,196.967333333333
378,198.26,198.092,199.393,198.581666666667,196.821,203.597,197.245,199.221,197.424,202.348,199.014,199.595333333333
380,199.195,200.876,200.936,200.335666666667,197.072,201.515,197.479,198.688666666667,200.226,199.714,198.517,199.485666666667
382,197.295,200.969,200.664,199.642666666667,195.254,198.144,197.151,196.849666666667,197.547,202.828,196.592,198.989
384,196.797,200.236,201.056,199.363,196.788,200.419,198.231,198.479333333333,198.201,200.629,195.305,198.045
386,196.946,199.1,199.519,198.521666666667,198.369,202.092,195.733,198.731333333333,198.649,201.593,198.334,199.525333333333
388,199.775,200.408,200.136,200.106333333333,198.941,198.837,195.192,197.656666666667,196.013,200.572,199.011,198.532
390,198.797,201.997,199.056,199.95,197.423,200.74,194.845,197.669333333333,193.306,202.687,198.151,198.048
392,201.05,203.56,197.02,200.543333333333,196.853,197.994,198.433,197.76,198.297,200.854,201.47,200.207
394,197.866,201.3,197.972,199.046,197.911,200.872,197.702,198.828333333333,197.954,202.585,200.262,200.267
396,200.161,199.223,198.957,199.447,195.172,198.598,199.894,197.888,195.661,204.188,201.212,200.353666666667
398,199.3,200.284,198.913,199.499,196.781,197.538,197.035,197.118,197.671,204.319,199.491,200.493666666667
400,200.395,199.29,198.058,199.247666666667,198.301,198.909,199.016,198.742,195.821,197.413,199.087,197.440333333333
402,199.555,198.477,199.013,199.015,197.766,196.782,196.956,197.168,198.375,201.513,198.943,199.610333333333
404,197.95,200.564,198.73,199.081333333333,194.888,197.856,197.487,196.743666666667,198.502,202.035,196.592,199.043
406,199.24,202.906,199.261,200.469,194.308,197.852,195.511,195.890333333333,198.142,204.223,198.172,200.179
408,197.435,202.041,201.323,200.266333333333,196.76,198.541,195.661,196.987333333333,197.8,205.067,198.919,200.595333333333
410,197.313,204.473,201.918,201.234666666667,195.327,198.92,196.561,196.936,198.429,200.152,201.837,200.139333333333
412,200.698,204.358,200.991,202.015666666667,198.811,199.429,198.842,199.027333333333,196.732,202.239,200.248,199.739666666667
414,202.088,200.699,201.167,201.318,201.105,200.22,195.973,199.099333333333,199.063,204.045,199.691,200.933
416,197.72,201.627,203.514,200.953666666667,201.218,198.086,194.584,197.962666666667,197.88,200.258,196.625,198.254333333333
418,199.355,202.988,203.735,202.026,199.064,196.605,193.928,196.532333333333,197.317,199.874,198.989,198.726666666667
420,197.964,203.932,202.692,201.529333333333,200.117,198.8,192.905,197.274,196.586,201.924,200.397,199.635666666667
422,200.248,201.823,203.603,201.891333333333,199.415,198.67,198.628,198.904333333333,196.265,200.531,195.638,197.478
424,199.757,204.311,202.251,202.106333333333,199.074,198.012,195.239,197.441666666667,197.328,201.645,199.548,199.507
