Time (ns),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
0.118,566.965454,566.36261,565.4021,566.243388,568.678101,566.685364,564.174744,566.512736333333,566.521912,564.06366,564.010742,564.865438
0.12,566.33313,563.795654,564.188232,564.772338666667,563.982178,565.413879,564.360718,564.585591666667,564.766479,566.73407,566.015564,565.838704333333
0.122,565.229126,565.320496,563.701355,564.750325666667,563.22937,563.402893,564.616089,563.749450666667,563.539551,566.50769,566.464844,565.504028333333
0.124,566.38916,563.33551,564.738953,564.821207666667,562.949463,565.829895,564.512146,564.430501333333,564.584778,565.821594,565.484619,565.296997
0.126,564.337891,565.320496,565.283081,564.980489333333,566.222595,566.411621,565.604309,566.079508333333,564.80011,565.142517,562.905579,564.282735333333
0.128,565.072754,567.306641,563.43689,565.272095,562.931335,566.55835,563.681458,564.390381,564.60791,565.902893,565.564392,565.358398333333
0.13,565.704651,565.037537,565.068542,565.270243333333,563.557678,564.327393,565.984985,564.623352,565.721436,566.015747,567.733093,566.490092
0.132,565.363098,564.703735,561.363708,563.810180333333,566.185486,565.576233,565.502747,565.754822,564.711365,567.108948,567.055359,566.291890666667
0.134,564.855469,565.843872,564.392578,565.030639666667,564.955017,564.585999,564.884094,564.80837,564.321472,566.924011,563.493347,564.912943333333
0.136,563.882263,566.544434,561.601196,564.009297666667,563.650269,564.504944,563.719604,563.958272333333,564.808472,562.670227,563.706116,563.728271666667
0.138,565.840515,564.944153,563.09613,564.626932666667,565.002136,564.748108,563.94104,564.563761333333,563.719788,563.56134,565.904358,564.395162
0.14,564.661438,564.766663,566.155701,565.194600666667,564.280579,566.561584,564.972412,565.271525,563.448425,565.684692,564.292297,564.475138
0.142,563.257324,566.450928,565.35144,565.019897333333,563.889587,567.819397,562.202026,564.637003333333,565.137024,565.518677,565.290955,565.315552
0.144,563.839722,563.72168,563.458679,563.673360333333,566.816711,566.339966,563.563538,565.573405,564.039612,564.360901,563.862793,564.087768666667
0.146,564.428406,565.83844,564.897156,565.054667333333,565.532043,565.287476,563.833069,564.884196,566.23114,563.65332,563.914917,564.599792333333
0.148,564.110229,565.863342,564.235352,564.736307666667,565.4776,565.534668,564.244324,565.085530666667,565.249451,566.779358,563.931702,565.320170333333
0.15,565.146179,566.81012,563.544678,565.166992333333,566.15332,563.906372,565.801758,565.28715,565.237427,565.73584,565.984314,565.652527
0.152,566.801697,563.831482,565.077515,565.236898,566.892456,566.402588,561.449768,564.914937333333,564.84259,565.988586,564.414612,565.081929333333
0.154,564.986023,563.892883,565.639893,564.839599666667,565.886047,566.006042,564.505737,565.465942,566.208191,565.849792,563.730286,565.262756333333
0.156,564.449341,564.721619,566.308655,565.159871666667,565.2547,564.921692,565.147034,565.107808666667,562.443665,564.581665,563.770752,563.598694
0.158,563.05249,564.637634,562.731506,563.473876666667,564.271301,567.910828,565.371948,565.851359,565.795532,564.186401,564.548035,564.843322666667
0.16,565.752869,565.670532,565.375366,565.599589,564.105225,565.929932,564.381165,564.805440666667,564.869568,562.980408,562.996094,563.615356666667
0.162,566.32489,566.287842,565.090881,565.901204333333,564.641602,566.31958,564.938782,565.299988,566.44751,564.971313,565.855713,565.758178666667
0.164,564.530396,564.259766,566.250977,565.013713,567.29895,567.532593,563.682922,566.171488333333,563.908142,565.026855,565.275085,564.736694
0.166,565.210571,564.943848,565.259888,565.138102333333,565.407043,565.37085,563.937805,564.905232666667,565.325684,564.482239,566.183167,565.330363333333
0.168,563.972595,565.674255,566.108948,565.251932666667,567.349304,564.820923,565.61792,565.929382333333,563.518066,564.265564,564.589355,564.124328333333
0.17,566.197388,564.997803,565.001404,565.398865,563.436401,563.354431,565.95105,564.247294,564.969971,565.056702,565.789795,565.272156
0.172,565.316162,564.062134,565.09668,564.824992,563.666748,564.811035,563.858826,564.112203,564.310303,564.142273,564.387024,564.279866666667
0.174,563.462219,565.767395,563.17395,564.134521333333,564.395508,566.475464,565.692627,565.521199666667,564.801453,562.858704,564.004028,563.888061666667
0.176,565.914429,563.463745,566.130249,565.169474333333,564.978699,564.562561,562.569641,564.036967,563.59021,562.528259,563.748901,563.289123333333
0.178,566.005676,564.48407,564.854065,565.114603666667,564.66095,565.896362,564.857178,565.138163333333,564.363831,563.346741,566.746704,564.819092
0.18,562.424988,564.274231,566.302551,564.333923333333,565.437561,565.949097,565.135132,565.507263333333,563.626648,565.481567,567.481262,565.529825666667
0.182,563.38446,566.141113,566.208557,565.24471,564.195862,566.707214,563.35791,564.753662,565.760437,567.464722,563.736328,565.653829
0.184,566.293335,565.281433,565.992371,565.855713,565.947021,566.317383,565.727722,565.997375333333,565.637878,562.608337,562.350403,563.532206
0.186,565.252686,565.746582,565.171448,565.390238666667,565.203979,565.422852,565.990967,565.539266,565.038635,566.434143,562.482605,564.651794333333
0.188,565.744507,564.579651,564.020325,564.781494333333,566.530823,566.060974,564.807251,565.799682666667,565.644104,566.312683,563.853699,565.270162
0.19,565.268188,565.293213,564.932861,565.164754,564.292969,565.708313,564.95752,564.986267333333,563.584595,563.184021,566.755127,564.507914333333
0.192,561.971191,565.47937,566.140747,564.530436,564.256409,563.404419,562.360107,563.340311666667,564.561707,562.729309,562.817444,563.369486666667
0.194,565.59198,563.392456,563.697266,564.227234,564.734924,564.422913,564.655273,564.60437,565.129456,564.169861,563.901733,564.40035
0.196,565.298462,564.880615,567.312805,565.830627333333,568.257629,564.189697,563.515991,565.321105666667,562.840088,564.788879,564.805542,564.144836333333
0.198,565.575256,564.555298,564.764832,564.965128666667,566.832581,566.088257,564.942627,565.954488333333,565.58551,563.9375,564.965942,564.829650666667
0.2,565.517944,565.924377,563.248596,564.896972333333,565.200012,566.765259,565.832825,565.932698666667,565.315186,565.17572,564.777832,565.089579333333
0.202,564.472168,567.958191,563.817627,565.415995333333,567.700684,565.492188,563.84137,565.678080666667,562.877747,564.724426,564.902039,564.168070666667
0.204,565.016235,564.961853,564.930054,564.969380666667,563.898193,562.788269,564.28125,563.655904,564.648804,562.00177,564.898743,563.849772333333
0.206,565.513367,566.862,563.855896,565.410421,564.234314,565.286987,563.778503,564.433268,566.340088,564.246765,564.409485,564.998779333333
0.208,565.904785,565.060547,566.927551,565.964294333333,566.126648,565.501587,563.973145,565.20046,566.410461,565.101013,565.464722,565.658732
0.21,563.639832,564.851624,565.432556,564.641337333333,566.218567,566.277466,564.284729,565.593587333333,566.322632,561.679932,565.778503,564.593689
0.212,564.31366,562.062073,564.998535,563.791422666667,565.109253,565.961365,565.192322,565.42098,564.480896,563.754944,566.138306,564.791382
0.214,562.868835,566.588013,563.461609,564.306152333333,564.349792,565.59906,566.732239,565.560363666667,564.242981,564.104187,565.930847,564.759338333333
0.216,564.976624,563.676758,564.479797,564.377726333333,563.694153,564.645569,564.967468,564.43573,562.319946,563.592224,564.451599,563.454589666667
0.218,564.141785,564.732117,563.438538,564.104146666667,566.106812,564.445618,566.294006,565.615478666667,564.990051,564.363342,567.293945,565.549112666667
0.22,564.014038,565.467163,562.77948,564.086893666667,565.216187,564.856812,566.052185,565.375061333333,564.061707,565.894104,565.447388,565.134399666667
0.222,563.995789,564.925964,566.459351,565.127034666667,565.071594,565.284546,566.54895,565.63503,566.445312,564.053162,561.475952,563.991475333333
0.224,566.025696,565.269836,564.950317,565.415283,565.240906,566.026733,565.338745,565.535461333333,564.7547,563.85199,564.540527,564.382405666667
0.226,565.268188,565.975464,563.988953,565.077535,565.097656,565.643372,565.873108,565.538045333333,565.767334,564.296204,564.038269,564.700602333333
0.228,565.802124,564.387695,565.827881,565.339233333333,565.436401,566.98877,563.501221,565.308797333333,566.182617,565.356812,563.51123,565.016886333333
0.23,564.353943,563.563538,564.647522,564.188334333333,563.30188,565.039734,563.668335,564.003316333333,562.483643,564.002869,564.642395,563.709635666667
0.232,565.715759,564.486084,564.720093,564.973978666667,563.456238,564.947632,565.337708,564.580526,564.939697,563.314575,566.449463,564.901245
0.234,566.413635,564.356018,565.109253,565.292968666667,565.504639,566.696899,566.405273,566.202270333333,564.576965,563.425659,566.525513,564.842712333333
0.236,564.283325,563.726868,564.655273,564.221822,566.011536,564.521545,564.536682,565.023254333333,564.573364,564.654297,564.824707,564.684122666667
0.238,565.750488,566.587524,565.280151,565.872721,564.894836,566.028748,562.600159,564.507914333333,563.844421,564.197571,566.56311,564.868367333333
0.24,562.932434,563.206665,566.909546,564.349548333333,565.96814,564.952148,565.288025,565.402771,567.417603,565.431152,565.334167,566.060974
0.242,562.896057,566.260559,565.188049,564.781555,565.497437,564.491455,563.57666,564.521850666667,565.358948,564.98938,565.242615,565.196981
0.244,565.089478,562.461304,564.531433,564.027405,564.679688,562.086731,562.922119,563.229512666667,563.628784,566.262878,565.401245,565.097635666667
0.246,565.798523,565.905579,564.658813,565.454305,563.982178,564.575623,563.837219,564.131673333333,562.545959,564.555542,565.886902,564.329467666667
0.248,563.591064,563.629517,565.485046,564.235209,562.972107,563.924133,564.47467,563.790303333333,566.125305,563.284424,563.026672,564.145467
0.25,564.717468,566.217346,565.119263,565.351359,565.487915,566.052856,565.551758,565.697509666667,565.228699,565.516663,564.014648,564.920003333333
0.252,564.914978,566.821533,564.748291,565.494934,564.729858,564.392212,563.955261,564.359110333333,566.147766,564.020264,565.457581,565.208537
0.254,565.560913,565.115967,565.586975,565.421285,565.569946,564.558289,564.873413,565.000549333333,564.121582,563.924133,563.166565,563.737426666667
0.256,563.85199,566.312439,565.568115,565.244181333333,564.43158,566.907104,565.777344,565.705342666667,564.501892,565.281982,563.922302,564.568725333333
0.258,562.432922,564.43103,564.872864,563.912272,563.823059,565.242798,565.238037,564.767964666667,564.594727,564.421875,566.087891,565.034831
0.26,565.154297,565.513245,565.346619,565.338053666667,566.589722,564.717896,562.158203,564.488607,564.786865,565.109924,564.092468,564.663085666667
0.262,567.644348,566.145752,564.34436,566.04482,563.488464,566.350647,564.019897,564.619669333333,565.255066,563.245544,563.756287,564.085632333333
0.264,565.055969,566.418518,564.046753,565.173746666667,563.776001,562.928467,565.350281,564.018249666667,563.093262,566.535706,565.257019,564.961995666667
0.266,564.033997,563.819397,565.041138,564.298177333333,564.754333,565.0755,563.948242,564.592691666667,565.334595,564.143738,563.677612,564.385315
0.268,563.816162,564.50177,566.340698,564.88621,564.102173,565.583801,566.228149,565.304707666667,565.957275,564.095337,563.631409,564.561340333333
0.27,563.727783,564.672668,563.65686,564.019103666667,565.059387,566.961609,563.583069,565.201355,564.433838,564.68219,564.863647,564.659891666667
0.272,563.504822,565.491516,566.556091,565.184143,564.076477,565.950012,565.769775,565.265421333333,565.188904,564.760803,564.230591,564.726766
0.274,564.874084,563.789307,567.784668,565.482686333333,564.411743,565.057068,564.34375,564.604187,564.039429,562.463501,563.796448,563.433126
0.276,565.163635,564.680664,564.572144,564.805481,565.585144,566.058777,563.286011,564.976644,563.228088,566.305237,564.222107,564.585144
0.278,564.322388,564.389893,565.94635,564.886210333333,566.010193,566.099487,565.226501,565.778727,562.461609,565.184631,565.054382,564.233540666667
0.28,560.826599,563.435425,562.894775,562.385599666667,564.423828,565.553162,565.171631,565.049540333333,565.256226,566.184937,565.142883,565.528015333333
0.282,563.567749,563.375916,564.499573,563.814412666667,564.27478,565.457764,565.300964,565.011169333333,564.054077,566.434631,565.268921,565.252543
0.284,562.097717,567.291931,567.435669,565.608439,564.665894,564.092163,564.872864,564.543640333333,563.673706,562.261047,565.800049,563.911600666667
0.286,565.598572,565.813477,563.677612,565.029887,565.058472,562.779785,567.35144,565.063232333333,563.086975,566.090027,564.415466,564.530822666667
0.288,565.285034,564.918152,563.265991,564.489725666667,565.148499,565.171814,565.490723,565.270345333333,565.134705,563.799438,561.957092,563.630411666667
0.29,564.134399,566.547729,567.193848,565.958658666667,565.255066,565.64624,565.199707,565.367004333333,566.233032,565.799622,563.977478,565.336710666667
0.292,564.74353,566.159119,565.950623,565.617757333333,565.246033,563.663452,565.240723,564.716736,563.489014,564.396667,564.9422,564.275960333333
0.294,565.724121,563.876282,565.096497,564.898966666667,564.244324,563.470093,564.151245,563.955220666667,566.114807,565.651428,563.302979,565.023071333333
0.296,563.861328,565.895325,565.322266,565.026306333333,565.738892,564.116699,566.007812,565.287801,566.344116,566.87262,566.903564,566.706766666667
0.298,566.287354,565.061035,562.831787,564.726725333333,564.130493,566.436707,564.779114,565.115438,563.960327,562.701721,564.783142,563.815063333333
0.3,567.517395,565.720398,563.644958,565.627583666667,564.197571,564.169006,565.1203,564.495625666667,564.958923,564.458557,565.308228,564.908569333333
0.302,565.01123,567.228638,565.525635,565.921834333333,564.326477,565.355774,565.309937,564.997396,564.931213,565.592346,563.962708,564.828755666667
0.304,563.333801,564.948425,564.59436,564.292195333333,564.201965,564.293091,564.776184,564.423746666667,564.351685,566.058167,566.44751,565.619120666667
0.306,565.472046,564.963013,562.635315,564.356791333333,565.882996,565.078186,564.26123,565.074137333333,565.286133,563.400574,562.537598,563.741435
0.308,563.135376,566.06842,566.122559,565.108785,565.075928,564.115234,566.230103,565.140421666667,564.396606,563.320312,564.226074,563.980997333333
0.31,565.072937,564.656067,566.267883,565.332295666667,565.20929,566.257141,564.741821,565.402750666667,563.274719,564.63147,563.938843,563.948344
0.312,566.381287,564.415161,564.120544,564.972330666667,564.969177,564.476013,565.883362,565.109517333333,563.931091,565.362122,562.129456,563.807556333333
0.314,565.418762,564.611816,566.329102,565.453226666667,566.819946,564.495483,565.086792,565.467407,565.674194,564.454834,565.25116,565.126729333333
0.316,566.110962,566.541382,567.803772,566.818705333333,566.051758,565.44519,564.301941,565.266296333333,562.999207,564.356384,564.837891,564.064494
0.318,565.139832,564.501343,566.404358,565.348511,566.053833,564.920959,565.035828,565.336873333333,563.900085,566.004944,563.108765,564.337931333333
0.32,564.130127,563.614075,564.421387,564.055196333333,565.675598,563.531067,564.893188,564.699951,563.112488,563.459717,564.673706,563.748637
0.322,564.838806,562.557434,564.077271,563.824503666667,561.315247,565.092651,564.580933,563.662943666667,565.717773,566.679565,567.244812,566.547383333333
0.324,564.61676,566.096863,564.62384,565.112487666667,566.886902,564.668457,564.036804,565.197387666667,563.123657,566.870544,565.345947,565.113382666667
0.326,562.3349,567.461914,564.03894,564.611918,565.413269,565.51947,564.887268,565.273335666667,565.42865,565.333008,566.240356,565.667338
0.328,565.59137,564.219849,566.703125,565.504781333333,563.307373,566.331848,564.677307,564.772176,563.985352,563.601868,564.121948,563.903056
0.33,563.311646,567.760803,567.659973,566.244140666667,564.905396,563.050964,565.703674,564.553344666667,564.800537,565.904419,565.593872,565.432942666667
0.332,565.657288,566.059021,565.728088,565.814799,564.116089,564.851318,565.49884,564.822082333333,565.338867,565.365173,564.905334,565.203124666667
0.334,563.746033,564.713623,563.744873,564.068176333333,563.555359,565.892395,566.075012,565.174255333333,565.417297,565.576599,563.094604,564.696166666667
0.336,563.499329,564.255127,564.026428,563.926961333333,562.187378,564.07196,563.558838,563.272725333333,567.483643,564.582642,565.005737,565.690674
0.338,563.664001,565.775452,564.953613,564.797688666667,567.479919,564.34375,565.033997,565.619222,564.340454,565.266602,565.307434,564.971496666667
0.34,564.024231,564.822754,565.777832,564.874939,566.55658,565.302917,565.31012,565.723205666667,563.337952,567.089722,563.358887,564.595520333333
0.342,561.509705,566.439636,565.927917,564.625752666667,565.208862,566.200439,564.044739,565.151346666667,563.721436,563.866394,565.182617,564.256815666667
0.344,564.690613,565.411072,564.938782,565.013489,563.622681,565.171814,564.329468,564.374654333333,564.643311,563.882812,562.735413,563.753845333333
0.346,564.846558,563.1073,564.510437,564.154765,564.181702,566.321472,564.739807,565.080993666667,563.286743,565.184937,564.634766,564.368815333333
0.348,565.061523,565.721008,562.988159,564.59023,565.385254,563.44812,564.723877,564.519083666667,563.301453,564.842041,563.912781,564.018758333333
0.35,564.926453,565.292664,566.129578,565.449565,565.59668,564.036804,566.311035,565.314839666667,566.266846,565.40033,564.750366,565.472514
0.352,563.681091,564.199341,566.549377,564.809936333333,560.913208,564.949158,562.536316,562.799560666667,564.891846,564.984009,564.306335,564.727396666667
0.354,563.78302,565.068604,563.699402,564.183675333333,564.758118,566.268127,565.379395,565.468546666667,564.666138,562.41333,564.919067,563.999511666667
0.356,567.033508,563.868591,564.428406,565.110168333333,565.547974,565.268921,563.713501,564.843465333333,564.986938,565.021851,564.46405,564.824279666667
0.358,567.074768,562.935059,563.75415,564.587992333333,565.222778,564.040344,564.341797,564.534973,565.149536,566.369995,563.498779,565.006103333333
0.36,566.214417,564.477234,565.15918,565.283610333333,565.592163,567.48938,568.108643,567.063395333333,563.510742,563.857056,563.418213,563.595337
0.362,564.054871,564.159302,565.08551,564.433227666667,565.091858,565.122192,565.741272,565.318440666667,563.839478,564.597168,564.579407,564.338684333333
0.364,564.667236,565.131592,565.324524,565.041117333333,566.146057,565.468872,564.18158,565.265503,565.360718,563.682922,564.586182,564.543274
0.366,566.15802,565.036804,565.07135,565.422058,564.57843,564.401123,564.363464,564.447672333333,565.286377,564.950623,565.946228,565.394409333333
0.368,567.512878,565.083496,564.574707,565.723693666667,561.504089,565.753235,565.130005,564.129109666667,564.092529,565.50177,562.82666,564.140319666667
0.37,563.880127,564.495544,565.38385,564.586507,567.468872,564.920227,565.185303,565.858134,564.652039,565.120789,564.980408,564.917745333333
0.372,566.99707,563.509216,564.691772,565.066019333333,564.886292,562.635132,562.708496,563.409973333333,565.797791,563.266541,566.812378,565.292236666667
0.374,566.586304,562.552368,566.258789,565.132487,563.739746,565.38623,564.767456,564.631144,564.14679,564.347107,563.232361,563.908752666667
0.376,563.682922,567.069336,564.708069,565.153442333333,564.159973,563.819519,565.035217,564.338236333333,565.686401,565.888733,563.542664,565.039266
0.378,564.538025,563.487915,562.927979,563.651306333333,564.999084,564.162231,564.906433,564.689249333333,564.747314,566.863098,564.916199,565.508870333333
0.38,562.261719,564.441589,564.250122,563.651143333333,565.145691,566.332153,565.335083,565.604309,564.846497,565.781189,565.081482,565.236389333333
0.382,565.692261,565.406616,564.935852,565.344909666667,566.759827,563.955444,566.927429,565.8809,562.630005,563.914062,565.007751,563.850606
0.384,563.02063,564.892639,563.244202,563.719157,564.168335,564.52594,565.822693,564.838989333333,566.232178,564.422729,563.215393,564.623433333333
0.386,563.942566,562.263855,564.234314,563.480245,565.282349,565.390991,565.027588,565.233642666667,566.731262,565.050964,562.111389,564.631205
0.388,566.490479,563.610474,563.670715,564.590556,564.657715,564.984314,565.493347,565.045125333333,564.414734,566.087524,565.044617,565.182291666667
0.39,565.587036,565.387634,564.848267,565.274312333333,565.022522,561.559021,565.280823,563.954122,567.361328,563.960815,565.220093,565.514078666667
0.392,563.847778,562.462769,566.258179,564.189575333333,565.47821,564.575623,565.921082,565.324971666667,564.692505,564.352295,566.273315,565.106038333333
0.394,566.218933,562.802734,565.217346,564.746337666667,565.901367,566.488159,562.874573,565.088033,564.718201,564.878723,563.139526,564.245483333333
0.396,563.240784,564.601562,565.635193,564.492513,563.99823,564.09198,565.426147,564.505452333333,563.969482,564.076477,565.491089,564.512349333333
0.398,565.775818,566.114075,565.302551,565.730814666667,566.716125,563.594299,561.97644,564.095621333333,563.185852,566.249268,564.751648,564.728922666667
0.4,563.039734,564.723572,565.813721,564.525675666667,566.163513,566.024048,565.332947,565.840169333333,567.030396,564.878967,564.595154,565.501505666667
