Time (ns),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
0.172,-703699.5,-702470.125,-703168.0625,-703112.5625,-702705.5625,-703075.875,-704132.625,-703304.6875,-705525.75,-704183.5,-704130.0625,-704613.104166667
0.174,-701965.625,-701713.8125,-702461.625,-702047.020833333,-703201.875,-701133.3125,-702136.8125,-702157.333333333,-702346.3125,-705678.4375,-704060.875,-704028.541666667
0.176,-703072.6875,-703495.75,-702880.9375,-703149.791666667,-701535.5,-705052.375,-703109.6875,-703232.520833333,-703414.875,-704680.125,-704610.6875,-704235.229166667
0.178,-700989.75,-701912.1875,-702470.6875,-701790.875,-704126.3125,-701157.3125,-701830.625,-702371.416666667,-704152.3125,-703910.4375,-702561.0625,-703541.270833333
0.18,-703954.25,-704189.5,-702929.8125,-703691.1875,-703536.3125,-701392.3125,-703289.8125,-702739.479166667,-704791.4375,-703469.25,-701940.625,-703400.4375
0.182,-703992.0625,-703760.875,-702352,-703368.3125,-703709.3125,-702646.0625,-704783.8125,-703713.0625,-705865.625,-703492.25,-704727.0625,-704694.979166667
0.184,-701568,-702386.5625,-702385.1875,-702113.25,-702255.1875,-701255.0625,-703848.0625,-702452.770833333,-702857.625,-705340.6875,-704303.5,-704167.270833333
0.186,-703126.375,-702165.9375,-703152.6875,-702815,-702744.125,-704854.5,-701395.8125,-702998.145833333,-706164.6875,-703151.5,-703760.5,-704358.895833333
0.188,-703369.5,-703347.25,-702575.1875,-703097.3125,-702233.0625,-701223,-704148.125,-702534.729166667,-703654.6875,-703041,-704989.0625,-703894.916666667
0.19,-702904.5,-702225.375,-702807.0625,-702645.645833333,-704047.8125,-701630.8125,-704010.1875,-703229.604166667,-703316,-704976.6875,-702437.6875,-703576.791666667
0.192,-704039.0625,-701407.0625,-703624.3125,-703023.479166667,-704069.75,-704738.375,-704671.625,-704493.25,-702028.1875,-704164.625,-704293.3125,-703495.375
0.194,-703721.4375,-702707,-704697.8125,-703708.75,-703482.8125,-702659.6875,-702272.9375,-702805.145833333,-703359,-703513.9375,-704116.625,-703663.1875
0.196,-701508.5,-700528.375,-701217.75,-701084.875,-701004,-704090,-704913.375,-703335.791666667,-702077.25,-704863,-702761.1875,-703233.8125
0.198,-702532.6875,-703125.4375,-701625.625,-702427.916666667,-704918.5625,-701211.1875,-703356.375,-703162.041666667,-705022.25,-704007.75,-703913.25,-704314.416666667
0.2,-703348.9375,-703211.6875,-702711.4375,-703090.6875,-704104.3125,-702252.0625,-702238.8125,-702865.0625,-702774.5,-703813.25,-702933.6875,-703173.8125
0.202,-701566.75,-701806.875,-703041.5625,-702138.395833333,-702577.5625,-702405.625,-703972.25,-702985.145833333,-703027.9375,-703670,-704405.625,-703701.1875
0.204,-703243.5,-702837.875,-702583.625,-702888.333333333,-703662.0625,-703674.6875,-704117.25,-703818,-704653.75,-704628.8125,-703641.0625,-704307.875
0.206,-702847.0625,-701591.875,-703501,-702646.645833333,-704325.875,-703410.875,-704101.8125,-703946.1875,-701716,-703642.4375,-703196.25,-702851.5625
0.208,-705015.5,-702038.375,-702093.6875,-703049.1875,-703962,-704016.875,-704131.625,-704036.833333333,-702180.875,-705366.625,-702724.0625,-703423.854166667
0.21,-702910.3125,-702118.5625,-702084.25,-702371.041666667,-702650.9375,-704060.75,-703741.5625,-703484.416666667,-702894.5625,-704390.8125,-704014.5,-703766.625
0.212,-703758.25,-702999,-702465.4375,-703074.229166667,-703599.9375,-702236,-703586.1875,-703140.708333333,-703761.3125,-704949.4375,-703685.6875,-704132.145833333
0.214,-703273.8125,-701379.6875,-701884.4375,-702179.3125,-702993.375,-703552.5,-701788.8125,-702778.229166667,-704264.8125,-702887.5625,-701804.75,-702985.708333333
0.216,-700865.75,-701927.625,-702340.6875,-701711.354166667,-705161,-702313.9375,-704258.8125,-703911.25,-704376.9375,-703301.5625,-703401.0625,-703693.1875
0.218,-702906.8125,-702625.375,-703320.375,-702950.854166667,-703138,-704036.0625,-702003.4375,-703059.166666667,-702537.8125,-703661.125,-701949.4375,-702716.125
0.22,-704554.375,-702669.25,-704211.6875,-703811.770833333,-703050.375,-703608.875,-703203.5,-703287.583333333,-701624.6875,-701893.875,-703016.4375,-702178.333333333
0.222,-702926.375,-701779.8125,-702835.875,-702514.020833333,-702597.875,-702724.875,-702368.6875,-702563.8125,-701659.375,-705024.75,-705291.9375,-703992.020833333
0.224,-702913.875,-702702.375,-702767.3125,-702794.520833333,-703190.625,-702600.0625,-702825.125,-702871.9375,-704556.9375,-704368.0625,-703448.75,-704124.583333333
0.226,-702531.8125,-701210.3125,-703861.9375,-702534.6875,-703198.4375,-704005.4375,-702461.125,-703221.666666667,-702423.875,-705072.0625,-703801.1875,-703765.708333333
0.228,-704205,-703540.9375,-702801.1875,-703515.708333333,-704295.75,-702849.4375,-704565.125,-703903.4375,-703704.0625,-704955.875,-704458.6875,-704372.875
0.23,-703446.9375,-702198.125,-702621.1875,-702755.416666667,-703033.9375,-704024.6875,-704204.625,-703754.416666667,-703926.5,-704252,-703144.6875,-703774.395833333
0.232,-702766.625,-703570,-702883.6875,-703073.4375,-704510.9375,-702743.3125,-704277.625,-703843.958333333,-701899.5,-702928.4375,-702048.125,-702292.020833333
0.234,-703570.1875,-703011.625,-703129.375,-703237.0625,-703022.1875,-703109.3125,-701956.875,-702696.125,-704642.8125,-704845.9375,-704004.5,-704497.75
0.236,-703707.3125,-703568.9375,-701690.5,-702988.916666667,-702736.125,-702618.25,-704529.125,-703294.5,-704812.0625,-705173.6875,-702016.8125,-704000.854166667
0.238,-704389.75,-704665.875,-701888.25,-703647.958333333,-703249.0625,-703038.25,-704083.1875,-703456.833333333,-703712,-704814.375,-702745.625,-703757.333333333
0.24,-704977,-704995.1875,-703138.5625,-704370.25,-702747.375,-703589.25,-704852.875,-703729.833333333,-702149.1875,-703692.6875,-702317.375,-702719.75
0.242,-702547,-701345.9375,-702914.125,-702269.020833333,-702470.75,-701979.9375,-705188.5625,-703213.083333333,-703863.6875,-703268.625,-705170.3125,-704100.875
0.244,-702846.625,-705365.875,-702480.5625,-703564.354166667,-704085.625,-704137.5,-704202.0625,-704141.729166667,-704717,-703542.8125,-703889.0625,-704049.625
0.246,-702026.875,-701322.25,-703280.5625,-702209.895833333,-703541.625,-703936.9375,-702901.0625,-703459.875,-703244.9375,-704453.4375,-703562.25,-703753.541666667
0.248,-702002.1875,-703937,-701750.8125,-702563.333333333,-703308.25,-704130.3125,-703556.375,-703664.979166667,-702705.9375,-704475.9375,-703704.375,-703628.75
0.25,-702429.8125,-702754.125,-704525.1875,-703236.375,-703221.875,-703001.3125,-702149.125,-702790.770833333,-702203.3125,-702625.3125,-704254.4375,-703027.6875
0.252,-701877.9375,-703344.8125,-704002,-703074.916666667,-701309.5625,-702452.8125,-702980.125,-702247.5,-704191.1875,-703922.125,-703645.875,-703919.729166667
0.254,-703259.5,-702718.75,-703841.3125,-703273.1875,-704059.1875,-703198.125,-703731.875,-703663.0625,-703085.25,-704509.125,-704711.75,-704102.041666667
0.256,-703181.9375,-701782.9375,-703580.8125,-702848.5625,-702088.4375,-702964.3125,-703590.9375,-702881.229166667,-703438.3125,-703343.125,-703040.0625,-703273.833333333
0.258,-703835.25,-702253.875,-701483,-702524.041666667,-703635.5,-702398.4375,-701714,-702582.645833333,-702649.875,-703421.1875,-701979.1875,-702683.416666667
0.26,-703471.875,-701272.625,-702585.5,-702443.333333333,-703365.5,-704394.3125,-705020.875,-704260.229166667,-704240,-704834.75,-703559.5,-704211.416666667
0.262,-701714.5625,-701610.5,-702352,-701892.354166667,-703892.9375,-702583.1875,-705146.125,-703874.083333333,-704073.8125,-704701.0625,-704273,-704349.291666667
0.264,-703009,-701373.3125,-703618.9375,-702667.083333333,-704173.3125,-703492.75,-703104,-703590.020833333,-702570.75,-702982,-702074.6875,-702542.479166667
0.266,-702701.375,-702394.625,-702097.4375,-702397.8125,-703358.75,-702474.0625,-703996.625,-703276.479166667,-702977.3125,-703080.625,-703592.25,-703216.729166667
0.268,-704160,-703175.3125,-701061.375,-702798.895833333,-703593.625,-703036.1875,-702070.9375,-702900.25,-703830.3125,-704155.25,-703006.75,-703664.104166667
0.27,-703057.6875,-703510.875,-703119.875,-703229.479166667,-702457.375,-699332.6875,-701764.5,-701184.854166667,-705086.625,-704394.125,-702822.5625,-704101.104166667
0.272,-702729.875,-702608.3125,-701434.875,-702257.6875,-703748.0625,-701663.9375,-703719.875,-703043.958333333,-704204.6875,-703733.5625,-704735.6875,-704224.645833333
0.274,-702920.75,-704397.4375,-700850.6875,-702722.958333333,-704158.125,-703697.75,-704310.75,-704055.541666667,-704136.9375,-704570.375,-704778.625,-704495.3125
0.276,-703231.5625,-702024.625,-703795.25,-703017.145833333,-702656.0625,-701074.9375,-703425.25,-702385.416666667,-703232.375,-701950.5625,-704418.875,-703200.604166667
0.278,-703023.375,-702821.875,-703148.5625,-702997.9375,-703120.0625,-701933.6875,-704044.625,-703032.791666667,-703383.1875,-703287.5625,-702516.5625,-703062.4375
0.28,-704798.5,-703789.0625,-704148.625,-704245.395833333,-703726,-705276.125,-704852.5,-704618.208333333,-704401.8125,-701265.25,-702969.75,-702878.9375
0.282,-703978.25,-702094.1875,-702186.5,-702752.979166667,-703086.6875,-703368.25,-703121.125,-703192.020833333,-704366.4375,-702929.75,-702413.1875,-703236.458333333
0.284,-702282.875,-702507,-701952.375,-702247.416666667,-703541.125,-702845.3125,-703213.1875,-703199.875,-703906.75,-706339.3125,-703606.3125,-704617.458333333
0.286,-702905.0625,-701860.1875,-702037.875,-702267.708333333,-703929.9375,-703403.75,-702903.8125,-703412.5,-704953.625,-703158.1875,-702589.4375,-703567.083333333
0.288,-702856.75,-701831.625,-704228.5625,-702972.3125,-703078.0625,-703666.875,-704478.25,-703741.0625,-704339.625,-704005.125,-703665.875,-704003.541666667
0.29,-703247.125,-701140.375,-702404.9375,-702264.145833333,-704948.4375,-702734.875,-701769.625,-703150.979166667,-703449.75,-703764.375,-704044.8125,-703752.979166667
0.292,-701827.5,-701235.375,-702675.4375,-701912.770833333,-703844.75,-703884.9375,-704384.1875,-704037.958333333,-703174.125,-703861.8125,-702563,-703199.645833333
0.294,-702146.375,-703145.5625,-702997.5625,-702763.166666667,-703350.5625,-702929.1875,-703038.875,-703106.208333333,-704971.25,-703100.875,-705024.5,-704365.541666667
0.296,-703747.4375,-701678.5,-700411.6875,-701945.875,-703961.0625,-703580.625,-704039.875,-703860.520833333,-703173.75,-703414.75,-703863.5625,-703484.020833333
0.298,-701285.75,-702017.3125,-703420.9375,-702241.333333333,-705133.75,-702544.375,-701931,-703203.041666667,-703503.4375,-703853.1875,-704265.1875,-703873.9375
0.3,-703331.5,-703078.9375,-702504.375,-702971.604166667,-702312,-704721.5,-703257.8125,-703430.4375,-703102.3125,-704654.5625,-704079.125,-703945.333333333
0.302,-704290.625,-703850.4375,-703310.1875,-703817.083333333,-703455.8125,-702320.6875,-704175.5625,-703317.354166667,-703467.5625,-704973.625,-704130.1875,-704190.458333333
0.304,-702078.75,-702871.25,-703197.375,-702715.791666667,-704401.5625,-701685.8125,-703450.4375,-703179.270833333,-704259.9375,-703545.4375,-703139.8125,-703648.395833333
0.306,-701712,-702526.5,-703951.6875,-702730.0625,-702368.375,-702792.1875,-704364.3125,-703174.958333333,-704510.1875,-705002.625,-706154.6875,-705222.5
0.308,-702873.6875,-703486.1875,-701231.8125,-702530.5625,-704781.625,-700807.1875,-704029,-703205.9375,-704437.75,-704074.5625,-702845.5,-703785.9375
0.31,-703431,-704193.25,-700449.25,-702691.166666667,-701430,-703792,-702657.5625,-702626.520833333,-703369.8125,-703385.3125,-703924.1875,-703559.770833333
0.312,-703154.9375,-704078.125,-703077.0625,-703436.708333333,-704247,-704300.625,-703403.8125,-703983.8125,-705132.9375,-701918.25,-704871.625,-703974.270833333
0.314,-703041.875,-704807.375,-702988.25,-703612.5,-701562.125,-704776.5625,-702665.5625,-703001.416666667,-702961.1875,-703758.5625,-703364.4375,-703361.395833333
0.316,-702759.875,-702165,-703061.75,-702662.208333333,-701726,-703049.5625,-704590.75,-703122.104166667,-703501.3125,-704905,-702615.1875,-703673.833333333
0.318,-703949.5,-703974.8125,-702524.4375,-703482.916666667,-702230.9375,-704644.125,-702363,-703079.354166667,-703279.1875,-704249.4375,-705218.6875,-704249.104166667
0.32,-704992.5625,-702392.75,-703455.25,-703613.520833333,-702586.6875,-704548.5625,-702928.75,-703354.666666667,-705482.6875,-704338.8125,-704150.5,-704657.333333333
0.322,-702371.625,-703057.8125,-704032,-703153.8125,-701945.25,-702360.75,-703922.0625,-702742.6875,-703740.1875,-703346.9375,-704416.625,-703834.583333333
0.324,-702571.375,-702677.5625,-703159.5625,-702802.833333333,-702350.1875,-702080.75,-704963,-703131.3125,-702485.875,-702613.8125,-702931,-702676.895833333
0.326,-703720.375,-702791.25,-701279.8125,-702597.145833333,-703421.75,-702873.1875,-703316.8125,-703203.916666667,-703636.25,-702702.5625,-704376.6875,-703571.833333333
